"50760","E","REG","76.19",""
"50760","E","HOL","8.00",""
"50762","E","OT","1.18",""
"50762","E","REG","64.99",""
"50762","E","HOL","8.00",""
"50762","E","VAC","8.00",""
"50766","E","REG","63.93",""
"50766","E","HOL","8.00",""
"50767","E","OT","12.30",""
"50767","E","REG","84.30",""
"50767","E","HOL","8.00",""
"50769","E","REG","56.26",""
"50769","E","HOL","8.00",""
"50769","E","VAC","8.00",""
"50770","E","OT","9.34",""
"50770","E","REG","81.34",""
"50770","E","HOL","8.00",""
"50780","E","OT","26.11",""
"50780","E","REG","98.11",""
"50780","E","HOL","8.00",""
"50786","E","REG","70.73",""
"50786","E","HOL","8.00",""
"50793","E","OT","9.45",""
"50793","E","REG","81.45",""
"50793","E","HOL","8.00",""
"50794","E","OT","3.33",""
"50794","E","REG","72.78",""
"50794","E","HOL","8.00",""
"50799","E","OT","0.91",""
"50799","E","REG","68.08",""
"50799","E","HOL","8.00",""
"50799","E","VAC","4.00",""
"50800","E","OT","3.93",""
"50800","E","REG","72.03",""
"50800","E","HOL","8.00",""
"50801","E","OT","26.08",""
"50801","E","REG","98.08",""
"50801","E","HOL","8.00",""
"50807","E","OT","18.72",""
"50807","E","REG","90.72",""
"50807","E","HOL","8.00",""
"50809","E","REG","56.74",""
"50809","E","HOL","8.00",""
"50809","E","VAC","4.00",""
"50811","E","OT","12.81",""
"50811","E","REG","84.81",""
"50811","E","HOL","8.00",""
"50812","E","OT","15.49",""
"50812","E","REG","87.49",""
"50812","E","HOL","8.00",""
"50816","E","REG","53.63",""
"50816","E","HOL","8.00",""
"50817","E","OT","3.98",""
"50817","E","REG","64.33",""
"50817","E","HOL","8.00",""
"50822","E","OT","13.03",""
"50822","E","REG","77.03",""
"50822","E","HOL","8.00",""
"50822","E","VAC","8.00",""
"50824","E","REG","64.00",""
"50824","E","HOL","8.00",""
"50824","E","VAC","8.00",""
"50831","E","OT","3.54",""
"50831","E","REG","72.92",""
"50831","E","HOL","8.00",""
"50839","E","OT","19.17",""
"50839","E","REG","91.17",""
"50839","E","HOL","8.00",""
"50841","E","OT","1.17",""
"50841","E","REG","73.17",""
"50841","E","HOL","8.00",""
"50842","E","REG","48.98",""
"50844","E","REG","48.45",""
"50844","E","HOL","8.00",""
"50844","E","VAC","4.00",""
"50849","E","DBL","4.57",""
"50849","E","OT","23.12",""
"50849","E","REG","90.28",""
"50849","E","HOL","8.00",""
"50852","E","OT","1.43",""
"50852","E","REG","70.65",""
"50852","E","HOL","8.00",""
"50854","E","OT","39.35",""
"50854","E","REG","95.35",""
"50854","E","HOL","8.00",""
"50854","E","VAC","16.00",""
"50857","E","OT","10.38",""
"50857","E","OT","6.07",""
"50857","E","REG","88.45",""
"50857","E","HOL","8.00",""
"50859","E","REG","25.31",""
"50859","E","REG","37.07",""
"50859","E","HOL","8.00",""
"50865","E","OT","21.88",""
"50865","E","REG","77.88",""
"50865","E","HOL","8.00",""
"50865","E","VAC","16.00",""
"50875","E","REG","43.63",""
"50875","E","HOL","8.00",""
"50877","E","OT","19.52",""
"50877","E","REG","91.52",""
"50877","E","HOL","8.00",""
"50881","E","OT","3.16",""
"50881","E","REG","58.03",""
"50881","E","HOL","8.00",""
"50881","E","VAC","16.00",""
"50885","E","OT","4.07",""
"50885","E","REG","20.17",""
"50885","E","REG","55.12",""
"50885","E","HOL","8.00",""
"50886","E","OT","11.40",""
"50886","E","OT","6.09",""
"50886","E","REG","89.49",""
"50886","E","HOL","8.00",""
"50890","E","OT","19.06",""
"50890","E","REG","91.06",""
"50890","E","HOL","8.00",""
"50893","E","OT","8.56",""
"50893","E","OT","3.91",""
"50893","E","REG","84.48",""
"50893","E","HOL","8.00",""
"50900","E","REG","50.86",""
"50915","E","OT","19.42",""
"50915","E","REG","91.42",""
"50915","E","HOL","8.00",""
"50920","E","REG","59.26",""
"50920","E","HOL","8.00",""
"50927","E","OT","8.50",""
"50927","E","REG","80.50",""
"50927","E","HOL","8.00",""
"50928","E","OT","9.12",""
"50928","E","REG","73.12",""
"50928","E","HOL","8.00",""
"50928","E","VAC","8.00",""
"50933","E","OT","0.59",""
"50933","E","REG","63.37",""
"50933","E","HOL","8.00",""
"50933","E","VAC","8.00",""
"50939","E","OT","0.50",""
"50939","E","REG","71.52",""
"50939","E","HOL","8.00",""
"50946","E","REG","59.14",""
"50946","E","HOL","8.00",""
"50946","E","VAC","4.00",""
"50949","E","OT","0.22",""
"50949","E","REG","71.11",""
"50949","E","HOL","8.00",""
"50954","E","DBL","2.23",""
"50954","E","OT","12.59",""
"50954","E","REG","68.59",""
"50954","E","HOL","8.00",""
"50954","E","VAC","16.00",""
"50956","E","OT","3.02",""
"50956","E","REG","75.02",""
"50956","E","HOL","8.00",""
"50958","E","OT","5.21",""
"50958","E","REG","77.21",""
"50958","E","HOL","8.00",""
"50962","E","REG","41.94",""
"50963","E","OT","14.95",""
"50963","E","REG","85.46",""
"50963","E","HOL","8.00",""
"50970","E","OT","20.46",""
"50970","E","REG","90.15",""
"50970","E","HOL","8.00",""
"50973","E","OT","6.03",""
"50973","E","REG","77.54",""
"50973","E","HOL","8.00",""
"50974","E","OT","6.99",""
"50974","E","REG","76.99",""
"50974","E","HOL","8.00",""
"50975","E","OT","4.00",""
"50975","E","REG","74.03",""
"50975","E","HOL","8.00",""
"50979","E","REG","15.00",""
"50980","E","OT","5.56",""
"50980","E","REG","69.56",""
"50980","E","HOL","8.00",""
"50980","E","VAC","8.00",""
"50983","E","REG","62.38",""
"50985","E","REG","68.57",""
"50985","E","HOL","8.00",""
"50986","E","OT","6.18",""
"50986","E","REG","71.59",""
"50986","E","HOL","8.00",""
"50992","E","REG","66.89",""
"50992","E","HOL","8.00",""
"50996","E","OT","28.50",""
"50996","E","REG","39.50",""
"50996","E","HOL","8.00",""
"50996","E","RDBNS","",219.60
"50996","E","REG","61.00",""
"51001","E","REG","40.50",""
"51002","E","OT","2.93",""
"51002","E","REG","66.93",""
"51002","E","HOL","8.00",""
"51002","E","VAC","8.00",""
"51004","E","OT","17.54",""
"51004","E","REG","89.54",""
"51004","E","HOL","8.00",""
"51007","E","OT","24.78",""
"51007","E","REG","96.78",""
"51007","E","HOL","8.00",""
"51015","E","REG","56.76",""
"51015","E","HOL","8.00",""
"51019","E","OT","10.00",""
"51019","E","REG","82.00",""
"51019","E","HOL","8.00",""
"51020","E","OT","2.80",""
"51020","E","REG","72.05",""
"51020","E","HOL","8.00",""
"51025","E","OT","9.14",""
"51025","E","REG","81.14",""
"51025","E","HOL","8.00",""
"51026","E","OT","4.03",""
"51026","E","REG","64.03",""
"51026","E","REG","4.00",""
"51026","E","HOL","8.00",""
"51026","E","VAC","8.00",""
"51028","E","DBL","8.00",""
"51028","E","OT","18.94",""
"51028","E","REG","24.44",""
"51028","E","HOL","8.00",""
"51028","E","RDBNS","",301.25
"51028","E","REG","66.50",""
"51029","E","OT","12.59",""
"51029","E","REG","29.81",""
"51029","E","REG","54.78",""
"51029","E","HOL","8.00",""
"51032","E","OT","0.12",""
"51032","E","REG","72.12",""
"51032","E","HOL","8.00",""
"51034","E","REG","34.96",""
"51037","E","OT","4.03",""
"51037","E","OT","5.19",""
"51037","E","REG","81.22",""
"51037","E","HOL","8.00",""
"51038","E","REG","48.30",""
"51038","E","HOL","8.00",""
"51038","E","VAC","4.00",""
"51039","E","OT","14.00",""
"51039","E","REG","63.55",""
"51039","E","HOL","8.00",""
"51040","E","OT","0.27",""
"51040","E","REG","65.15",""
"51040","E","HOL","8.00",""
